Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1867,Ontario,ADDINGTON, PRICE Unknown,,1,0.05,,
1867,Ontario,ADDINGTON, LOTT Unknown,,0,0,,
1867,Ontario,ADDINGTON, HAM Unknown,,0,0,,
1867,Ontario,ADDINGTON,D. CAMERON Unknown,,0,0,,
1867,Ontario,ALGOMA,Wemyss Mackenzie SIMPSON Conservative,trader,250,47.26,,
1867,Ontario,ALGOMA, BEATTY Unknown,,241,45.56,,
1867,Ontario,ALGOMA, MACDONELL Unknown,,38,7.18,,
1867,Ontario,BOTHWELL,David MILLS Liberal,lawyer,1333,52.13,,
1867,Ontario,BOTHWELL, GLASS Conservative,,1224,47.87,,
1867,Ontario,BRANT NORTH,John Young BOWN Liberal-Conservative,physician,672,50.07,,
1867,Ontario,BRANT NORTH, CLEMENT Unknown,,670,49.93,,
1867,Ontario,BRANT SOUTH,Hon. Edmund Burke WOOD Liberal,lawyer,1257,53.56,,
1867,Ontario,BRANT SOUTH, LEEMING Unknown,,1090,46.44,,
1867,Ontario,BROCKVILLE,James CRAWFORD Conservative,contractor,690,56.98,,
1867,Ontario,BROCKVILLE, CHAMBERS Unknown,,521,43.02,,
1867,Ontario,BRUCE NORTH,Alexander SPROAT Conservative,treasurer,862,50.29,,
1867,Ontario,BRUCE NORTH, DOUGLAS Unknown,physician,852,49.71,,
1867,Ontario,BRUCE SOUTH,Francis HURDON Conservative,grain merchant,1777,52.17,,
1867,Ontario,BRUCE SOUTH, RASTALL Unknown,,1624,47.68,,
1867,Ontario,BRUCE SOUTH, HALL Unknown,,5,0.15,,
1867,Ontario,CARDWELL,Thomas Roberts FERGUSON Conservative,merchant,1155,51.72,,
1867,Ontario,CARDWELL, PHILIPS Unknown,physician,1078,48.28,,
1867,Ontario,CARLETON,John HOLMES Liberal-Conservative,provincial land surveyor,1087,51.94,,
1867,Ontario,CARLETON, ROCHESTER Conservative,lumber manufacturer,1006,48.06,,
1867,Ontario,CORNWALL,Hon. John Sandfield MACDONALD Liberal,lawyer,451,60.46,,
1867,Ontario,CORNWALL, MATTICE Unknown,,295,39.54,,
1867,Ontario,DUNDAS,John Sylvester ROSS Liberal-Conservative,mill owner,accl.,NA,,
1867,Ontario,DURHAM EAST,Francis H. BURTON Conservative,flour miller,1134,71.55,,
1867,Ontario,DURHAM EAST, BEAMISH Unknown,,451,28.45,,
1867,Ontario,DURHAM WEST,Edward BLAKE Liberal,lawyer,1337,58.95,,
1867,Ontario,DURHAM WEST, MILNE Unknown,,931,41.05,,
1867,Ontario,ELGIN EAST,Thomas William DOBBIE Conservative,land surveyor,1492,51.91,,
1867,Ontario,ELGIN EAST, BURWELL Unknown,,1382,48.09,,
1867,Ontario,ELGIN WEST,John H. MUNROE Conservative,real estate agent and broker,970,55.88,,
1867,Ontario,ELGIN WEST, MCDOUGALL Unknown,,766,44.12,,
1867,Ontario,ESSEX,John O'CONNOR Conservative,lawyer,1439,50.12,,
1867,Ontario,ESSEX,A. RANKIN Unknown,,1432,49.88,,
1867,Ontario,FRONTENAC,Thomas KIRKPATRICK Conservative,lawyer,1242,64.19,,
1867,Ontario,FRONTENAC, CARRUTHERS Unknown,,693,35.81,,
1867,Ontario,GLENGARRY,Donald Alexander MACDONALD Liberal,merchant,accl.,NA,,
1867,Ontario,GRENVILLE SOUTH,Walter SHANLY Conservative,civil engineer,899,55.19,,
1867,Ontario,GRENVILLE SOUTH, PATRICK Unknown,,730,44.81,,
1867,Ontario,GREY NORTH,George SNIDER Liberal,crown lands agent,1399,55.04,,
1867,Ontario,GREY NORTH, BOLTON Unknown,,1143,44.96,,
1867,Ontario,GREY SOUTH,George JACKSON Conservative,crown lands agent,1560,50.21,,
1867,Ontario,GREY SOUTH, DALGLEISH Unknown,,1547,49.79,,
1867,Ontario,HALDIMAND,David THOMPSON Liberal,merchant,1391,57.65,,
1867,Ontario,HALDIMAND, MCKINNON Unknown,,1022,42.35,,
1867,Ontario,HALTON,John WHITE Liberal,lumber merchant,1422,52.45,,
1867,Ontario,HALTON, CHISHOLM Unknown,,1289,47.55,,
1867,Ontario,HAMILTON,Charles MAGILL Liberal,dry goods merchant,accl.,NA,,
1867,Ontario,HASTINGS EAST,Hon. Robert READ Conservative,tanner,1110,70.84,,
1867,Ontario,HASTINGS EAST, FARLEY Unknown,,457,29.16,,
1867,Ontario,HASTINGS NORTH,Mackenzie BOWELL Conservative,editor,928,59.3,,
1867,Ontario,HASTINGS NORTH, WALLBRIDGE Unknown,,636,40.64,,
1867,Ontario,HASTINGS NORTH, MCLEAN Unknown,,1,0.06,,
1867,Ontario,HASTINGS WEST,James BROWN Conservative,businessman,773,71.18,,
1867,Ontario,HASTINGS WEST, HOLDEN Unknown,physician,313,28.82,,
1867,Ontario,HURON NORTH,Joseph WHITEHEAD Liberal,railway contractor,1940,49.33,,
1867,Ontario,HURON NORTH, HOLMES Unknown,,1318,33.51,,
1867,Ontario,HURON NORTH, SLOAN Unknown,physician,675,17.16,,
1867,Ontario,HURON SOUTH,Malcolm Collin CAMERON Liberal,lawyer,1624,52.76,,
1867,Ontario,HURON SOUTH, RITCHIE Unknown,,1453,47.21,,
1867,Ontario,HURON SOUTH, SILLS Unknown,,1,0.03,,
1867,Ontario,KENT,Rufus STEPHENSON Conservative,editor,1524,51.64,,
1867,Ontario,KENT, MCKELLAR Unknown,,1427,48.36,,
1867,Ontario,KINGSTON,"Hon. Sir John A., K. MACDONALD Liberal-Conservative",lawyer,735,83.81,,
1867,Ontario,KINGSTON,John STEWART Unknown,physician,142,16.19,,
1867,Ontario,LAMBTON,Alexander MACKENZIE Liberal,contractor,1999,60.39,,
1867,Ontario,LAMBTON, VIDAL Conservative,land surveyor,1311,39.61,,
1867,Ontario,LANARK NORTH,"Hon. William, C.B. MACDOUGALL Liberal-Conservative",lawyer,accl.,NA,,
1867,Ontario,LANARK SOUTH,Alexander MORRIS Conservative,lawyer,accl.,NA,,
1867,Ontario,LEEDS NORTH AND GRENVILLE NORTH,Francis JONES Conservative,civil engineer,923,51.85,,
1867,Ontario,LEEDS NORTH AND GRENVILLE NORTH, MONTGOMERY Unknown,,857,48.15,,
1867,Ontario,LEEDS SOUTH,John CRAWFORD Conservative,lawyer,1393,50.53,,
1867,Ontario,LEEDS SOUTH, RICHARDS Unknown,lawyer,1364,49.47,,
1867,Ontario,LENNOX,Richard John CARTWRIGHT Conservative,businessman,1268,53.05,,
1867,Ontario,LENNOX, GRANGE Unknown,,1122,46.95,,
1867,Ontario,LINCOLN,Hon. James Rea BENSON Liberal-Conservative,miller,accl.,NA,,
1867,Ontario,LONDON,Hon. John CARLING Liberal-Conservative,brewer,1114,80.72,,
1867,Ontario,LONDON, PEACOCK Unknown,,266,19.28,,
1867,Ontario,MIDDLESEX EAST,Crowell WILSON Liberal-Conservative,farmer,1896,51.92,,
1867,Ontario,MIDDLESEX EAST, MCFIE Independent,,1756,48.08,,
1867,Ontario,MIDDLESEX NORTH,Thomas SCATCHERD Liberal,lawyer,1605,64.74,,
1867,Ontario,MIDDLESEX NORTH, WATSON Unknown,,874,35.26,,
1867,Ontario,MIDDLESEX WEST,Angus Peter MCDONALD Conservative,contractor,1063,50.45,,
1867,Ontario,MIDDLESEX WEST, BILLINGTON Unknown,,1044,49.55,,
1867,Ontario,MONCK,Lachlin MCCALLUM Liberal-Conservative,shipbuilding contractor,1126,56.38,,
1867,Ontario,MONCK, FRASER Unknown,physician,871,43.62,,
1867,Ontario,NIAGARA,Angus MORRISON Conservative,lawyer,300,54.55,,
1867,Ontario,NIAGARA, THOMSON Unknown,,250,45.45,,
1867,Ontario,NORFOLK NORTH,Aquila WALSH Conservative,civil engineer,1026,50.89,,
1867,Ontario,NORFOLK NORTH, DUNCOMBE Unknown,physician,990,49.11,,
1867,Ontario,NORFOLK SOUTH,Peter LAWSON Liberal,tanner,1050,52.01,,
1867,Ontario,NORFOLK SOUTH, WALKER Unknown,,969,47.99,,
1867,Ontario,NORTHUMBERLAND EAST,Joseph KEELER Liberal-Conservative,grain and lumber dealer,1607,66.02,,
1867,Ontario,NORTHUMBERLAND EAST, MCKENZIE Unknown,lawyer,827,33.98,,
1867,Ontario,NORTHUMBERLAND EAST, MEYERS Unknown,,0,0,,
1867,Ontario,NORTHUMBERLAND WEST,Hon. James COCKBURN Conservative,lawyer,accl.,NA,,
1867,Ontario,ONTARIO NORTH,John Auld THOMPSON Liberal,court commissioner,1628,54.45,,
1867,Ontario,ONTARIO NORTH,Hon. M.C. CAMERON Liberal,lumber merchant,1362,45.55,,
1867,Ontario,ONTARIO SOUTH,Thomas Nicholson GIBBS Liberal-Conservative,merchant,1292,51.37,,
1867,Ontario,ONTARIO SOUTH,Hon. Geo. BROWN Unknown,,1223,48.63,,
1867,Ontario,OTTAWA (CITY OF),Joseph Merrill CURRIER Liberal-Conservative,lumberman,974,96.92,,
1867,Ontario,OTTAWA (CITY OF), GIBB Unknown,,25,2.49,,
1867,Ontario,OTTAWA (CITY OF), MCGILLIVRAY Unknown,,5,0.5,,
1867,Ontario,OTTAWA (CITY OF), MARTINEAU Unknown,,1,0.1,,
1867,Ontario,OTTAWA (CITY OF), THOMPSON Unknown,,0,0,,
1867,Ontario,OTTAWA (CITY OF), DICKINSON Unknown,,0,0,,
1867,Ontario,OXFORD NORTH,Thomas OLIVER Liberal,teacher,accl.,NA,,
1867,Ontario,OXFORD SOUTH,Ebenezer Vining BODWELL Liberal,general merchant,accl.,NA,,
1867,Ontario,PEEL,Hon. John Hillyard CAMERON Conservative,lawyer,1138,51.4,,
1867,Ontario,PEEL, BARBER Unknown,,1076,48.6,,
1867,Ontario,PERTH NORTH,James REDFORD Liberal,lumberman,1515,53.69,,
1867,Ontario,PERTH NORTH, DALY Liberal-Conservative,contractor,1307,46.31,,
1867,Ontario,PERTH NORTH, GREY Unknown,,0,0,,
1867,Ontario,PERTH SOUTH,Robert MACFARLANE Liberal,lawyer,1490,51.68,,
1867,Ontario,PERTH SOUTH, GUEST Unknown,,1393,48.32,,
1867,Ontario,PETERBOROUGH EAST,Peregrine Maitland GROVER Conservative,farmer,956,59.75,,
1867,Ontario,PETERBOROUGH EAST, ANDERSON Unknown,,644,40.25,,
1867,Ontario,PETERBOROUGH WEST,Charles PERRY Conservative,lumber dealer,681,51.09,,
1867,Ontario,PETERBOROUGH WEST, GORDON Unknown,,652,48.91,,
1867,Ontario,PRESCOTT,Albert HAGAR Liberal,merchant,1205,90.26,,
1867,Ontario,PRESCOTT, HIGGINSON Unknown,,130,9.74,,
1867,Ontario,PRINCE EDWARD,Walter ROSS Liberal,general merchant,1779,65.38,,
1867,Ontario,PRINCE EDWARD,J.S. MCCUAIG Conservative,businessman,942,34.62,,
1867,Ontario,RENFREW NORTH,John RANKIN Conservative,merchant,613,53.77,,
1867,Ontario,RENFREW NORTH, MURRAY Unknown,,527,46.23,,
1867,Ontario,RENFREW SOUTH,Daniel MCLACHLIN Liberal,lumber merchant,accl.,NA,,
1867,Ontario,RUSSELL,James Alexander GRANT Conservative,physician,1293,65.04,,
1867,Ontario,RUSSELL, BELL Unknown,,695,34.96,,
1867,Ontario,SIMCOE NORTH,Thomas David MCCONKEY Liberal,merchant,accl.,NA,,
1867,Ontario,SIMCOE SOUTH,William Carruthers LITTLE Liberal-Conservative,farmer,1411,57.22,,
1867,Ontario,SIMCOE SOUTH, SAUNDERS Unknown,,1055,42.78,,
1867,Ontario,STORMONT,Samuel AULT Liberal-Conservative,warden,955,72.46,,
1867,Ontario,STORMONT, SINCLAIR Unknown,,363,27.54,,
1867,Ontario,TORONTO EAST,James BEATTY Conservative,merchant,1113,53.15,,
1867,Ontario,TORONTO EAST, AIKINS Unknown,,980,46.8,,
1867,Ontario,TORONTO EAST, ALLEN Unknown,,1,0.05,,
1867,Ontario,VICTORIA NORTH,John MORRISON Liberal,merchant,687,63.03,,
1867,Ontario,VICTORIA NORTH, CAMERON Unknown,,403,36.97,,
1867,Ontario,VICTORIA SOUTH,George KEMPT Liberal,lumber dealer,1001,55.55,,
1867,Ontario,VICTORIA SOUTH,H. CAMERON Unknown,,801,44.45,,
1867,Ontario,WATERLOO NORTH,Isaac Erb BOWMAN Liberal,businessman,accl.,NA,,
1867,Ontario,WATERLOO SOUTH,James YOUNG Liberal,journalist,1324,58.02,,
