Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, ,
1902,Quebec,BEAUCE,H.S. BELAND Liberal,physician,3601,73.31,,
1902,Quebec,BEAUCE,E.M.A. SAVARD Conservative,,1311,26.69,,
1902,Quebec,BEAUHARNOIS,J.G.H. BERGERON Conservative,lawyer,2075,53.16,,
1902,Quebec,BEAUHARNOIS,George M. LOY Liberal,farmer,1828,46.84,,
1902,Quebec,BELLECHASSE,O.E. TALBOT Liberal,farmer,1819,65.53,,
1902,Quebec,BELLECHASSE,J.B. FRADETTE Conservative,,957,34.47,,
1902,Quebec,BERTHIER,J.E. ARCHAMBAULT Liberal,notary,1707,53.26,,
1902,Quebec,BERTHIER,T. MICHAUD Conservative,,1498,46.74,,
1902,Quebec,BONAVENTURE,Charles MARCIL Liberal,journalist,2280,62.16,,
1902,Quebec,BONAVENTURE,Thomas CROCKETT Conservative,,1388,37.84,,
1902,Quebec,BROME,Hon. S.A. FISHER Liberal,farmer,1821,65.93,,
1902,Quebec,BROME,E.P. STEVENS Conservative,,941,34.07,,
1902,Quebec,CHAMBLY--VERCHÈRES,V. GEOFFRION Liberal,lawyer,2493,55.97,,
1902,Quebec,CHAMBLY--VERCHÈRES,J.B. ARCHAMBAULT Conservative,,1961,44.03,,
1902,Quebec,CHAMPLAIN,Jeffrey Alex ROUSSEAU Liberal,banker,2934,52.8,,
1902,Quebec,CHAMPLAIN,François-Arthur MARCOTTE Conservative,physician,2623,47.2,,
1902,Quebec,CHARLEVOIX,Rodolphe FORGET Conservative,financier,1684,51.26,,
1902,Quebec,CHARLEVOIX,L.C.A. ANGERS Liberal,teacher,1601,48.74,,
1902,Quebec,CHÂTEAUGUAY,James Pollock BROWN Liberal,farmer,1370,60.19,,
1902,Quebec,CHÂTEAUGUAY,John George BRYSON Conservative,,906,39.81,,
1902,Quebec,CHICOUTIMI--SAGUENAY,Joseph GIRARD Conservative,farmer,4448,60.89,,
1902,Quebec,CHICOUTIMI--SAGUENAY,Edmond SAVARD Independent,physician,2857,39.11,,
1902,Quebec,COMPTON,A.B. HUNT Liberal,company director,2735,52.85,,
1902,Quebec,COMPTON,R.H. POPE Conservative,farmer and breeder,2440,47.15,,
1902,Quebec,DORCHESTER,J.B. MORIN Conservative,merchant,1773,55.37,,
1902,Quebec,DORCHESTER,C.E. VAILLANCOURT Nationalist,physician,1429,44.63,,
1902,Quebec,DRUMMOND--ARTHABASKA,Louis LAVERGNE Liberal,notary,3753,74.61,,
1902,Quebec,DRUMMOND--ARTHABASKA,Stanislas MONTPLAISIR Conservative,,1277,25.39,,
1902,Quebec,GASPÉ,Hon. Rodolphe LEMIEUX Liberal,lawyer,accl.,NA,,
1902,Quebec,HOCHELAGA,Louis A.A. RIVET Liberal,lawyer,4974,53.17,,
1902,Quebec,HOCHELAGA,A.A. BERNARD Conservative,,4381,46.83,,
1902,Quebec,HUNTINGDON,Robt. Nelson WALSH Conservative,veterinary surgeon,1274,52.97,,
1902,Quebec,HUNTINGDON,Wm. Scott MACLAREN Liberal,,1131,47.03,,
1902,Quebec,JACQUES CARTIER,F.D. MONK Conservative,lawyer,3095,52.91,,
1902,Quebec,JACQUES CARTIER,Louis A. BOYER Liberal,,2755,47.09,,
1902,Quebec,JOLIETTE,Joseph Adélard DUBEAU Liberal,lawyer,1972,52.95,,
1902,Quebec,JOLIETTE,Joseph Adolphe RENAUD Conservative,,1752,47.05,,
1902,Quebec,KAMOURASKA,Ernest LAPOINTE Liberal,lawyer,1635,53.54,,
1902,Quebec,KAMOURASKA,Jules LANGLOIS Conservative,,1419,46.46,,
1902,Quebec,LABELLE,Henri BOURASSA Liberal,editor,2640,63.07,,
1902,Quebec,LABELLE,G. Alphonse DUGAL Conservative,,1147,27.4,,
1902,Quebec,LABELLE,Angus D. CAMERON Independent,,399,9.53,,
1902,Quebec,LAPRAIRIE--NAPIERVILLE,Roch LANCTOT Liberal,farmer,1797,53.51,,
1902,Quebec,LAPRAIRIE--NAPIERVILLE,Maximilien COUPAL Conservative,,1561,46.49,,
1902,Quebec,L'ASSOMPTION,R. Charlemagne LAURIER Liberal,merchant,accl.,NA,,
1902,Quebec,LAVAL,Émile LÉONARD Conservative,lawyer,1842,50.6,,
1902,Quebec,LAVAL,C. PAQUETTE Liberal,,1798,49.4,,
1902,Quebec,LÉVIS,Louis-Jules DEMERS Liberal,merchant,2642,61.17,,
1902,Quebec,LÉVIS,Joseph Isaac LAVERY Conservative,,1677,38.83,,
1902,Quebec,L'ISLET,Eugène PAQUET Conservative,physician,1195,53.52,,
1902,Quebec,L'ISLET,Onésiphore CARBONNEAU Liberal,merchant,1038,46.48,,
1902,Quebec,LOTBINIÈRE,Edmond FORTIER Liberal,teacher,1670,67.64,,
1902,Quebec,LOTBINIÈRE,Napoléon BERGERON Conservative,,799,32.36,,
1902,Quebec,MAISONNEUVE,Hon. J.R.F. PRÉFONTAINE Liberal,lawyer,5967,61.12,,
1902,Quebec,MAISONNEUVE,S.D. VALLIÈRES Conservative,,3795,38.88,,
1902,Quebec,MASKINONGÉ,H. MAYRAND Liberal,farmer,1480,55.02,,
1902,Quebec,MASKINONGÉ,J. Alphonse COMEAU Conservative,,1188,44.16,,
1902,Quebec,MASKINONGÉ,T. THISDEL Unknown,,22,0.82,,
1902,Quebec,MÉGANTIC,François Théodore SAVOIE Liberal,,2453,55.71,,
1902,Quebec,MÉGANTIC,Louis-Israël COTÉ alias FRÉCHETTE Conservative,merchant,1950,44.29,,
1902,Quebec,MISSISQUOI,D.B. MEIGS Liberal,farmer,1848,51.88,,
1902,Quebec,MISSISQUOI,J.B. COMEAU Conservative,,1714,48.12,,
1902,Quebec,MONTCALM,F.O. DUGAS Liberal,lawyer,1227,53.21,,
1902,Quebec,MONTCALM,J.E.E. MARION Conservative,,1079,46.79,,
1902,Quebec,MONTMAGNY,Armand LAVERGNE Liberal,journalist,1222,51.22,,
1902,Quebec,MONTMAGNY,Henry E. PRICE Conservative,,1164,48.78,,
1902,Quebec,MONTMORENCY,George PARENT Liberal,lawyer,1292,55.52,,
1902,Quebec,MONTMORENCY,Hon. T.C. CASGRAIN Conservative,lawyer,1035,44.48,,
1902,Quebec,NICOLET,Rodolphe LEMIEUX Liberal,lawyer,2698,53.38,,
1902,Quebec,NICOLET,George BALL Conservative,merchant,2356,46.62,,
1902,Quebec,PONTIAC,Gerald H. BRABAZON Conservative,land surveyor,2001,51.22,,
1902,Quebec,PONTIAC,George Frederick HODGINS Liberal,merchant,1906,48.78,,
1902,Quebec,PORTNEUF,M.-S. DELISLE Liberal,merchant,2630,55.29,,
1902,Quebec,PORTNEUF,T.E. VOISARD Conservative,,2026,42.59,,
1902,Quebec,PORTNEUF,C.N. ARCAND Unknown,,101,2.12,,
1902,Quebec,QUEBEC COUNTY,Hon. Chas. FITZPATRICK Liberal,lawyer,2445,90.02,,
1902,Quebec,QUEBEC COUNTY,J.P.H. PAGEOT Conservative,,271,9.98,,
1902,Quebec,QUEBEC EAST,Sir Wilfrid LAURIER Liberal,lawyer,3524,71.35,,
1902,Quebec,QUEBEC EAST,Michel FISET Conservative,physician,1415,28.65,,
1902,Quebec,QUEBEC WEST,William POWER Liberal,merchant,1053,61.47,,
1902,Quebec,QUEBEC WEST,Lawrence STAFFORD Conservative,,660,38.53,,
1902,Quebec,QUEBEC-CENTRE,Albert MALOUIN Liberal,lawyer,1809,64.13,,
1902,Quebec,QUEBEC-CENTRE,Wm. Alex. VERGE Liberal,,1012,35.87,,
1902,Quebec,RICHELIEU,A.A. BRUNEAU Liberal,lawyer,2081,54.05,,
1902,Quebec,RICHELIEU,L.B.J. LECLAIRE Conservative,,1769,45.95,,
1902,Quebec,RICHMOND--WOLFE,Edmund William TOBIN Liberal,lumber merchant,3689,59.45,,
1902,Quebec,RICHMOND--WOLFE,Moïse O'BRADY Conservative,,2516,40.55,,
1902,Quebec,RIMOUSKI,J. Aug. ROSS Liberal,physician,3272,52.12,,
1902,Quebec,RIMOUSKI,William PRICE Conservative,,3006,47.88,,
1902,Quebec,ROUVILLE,Hon. L.P. BRODEUR Liberal,lawyer,1671,62.58,,
1902,Quebec,ROUVILLE,J.A. NADEAU Conservative,,999,37.42,,
1902,Quebec,SHEFFORD,Charles H. PARMELEE Liberal,publisher,2347,57.57,,
1902,Quebec,SHEFFORD,Peter Munroe HAYES Conservative,,1730,42.43,,
1902,Quebec,SHERBROOKE (TOWN OF),Arthur Norreys WORTHINGTON Conservative,physician,1875,51.74,,
1902,Quebec,SHERBROOKE (TOWN OF),Charles Cair KNIGHT Liberal,,1749,48.26,,
1902,Quebec,SOULANGES,Augustin BOURBONNAIS Liberal,,1063,55.89,,
1902,Quebec,SOULANGES,Ludger SÉGUIN Conservative,,839,44.11,,
1902,Quebec,ST. ANNE,D. GALLERY Liberal,merchant,2895,57.21,,
1902,Quebec,ST. ANNE,M.J. MORRISON Conservative,,2165,42.79,,
1902,Quebec,ST. ANTOINE,H.B. AMES Conservative,businessman,3342,55.39,,
1902,Quebec,ST. ANTOINE,P. LYALL Liberal,,2692,44.61,,
1902,Quebec,ST. HYACINTHE,Aimé-Majorique BEAUPARLANT Liberal,lawyer,2204,56.75,,
1902,Quebec,ST. HYACINTHE,Joseph de la Broquerie TACHÉ Conservative,,1680,43.25,,
1902,Quebec,ST. JAMES,H. GERVAIS Liberal,lawyer,3648,61.42,,
1902,Quebec,ST. JAMES,J.T. CARDINAL Conservative,,2291,38.58,,
1902,Quebec,ST. JOHNS--IBERVILLE,Louis-Philippe DEMERS Liberal,lawyer,2363,79.38,,
1902,Quebec,ST. JOHNS--IBERVILLE,Joseph LAVOIE Conservative,,614,20.62,,
1902,Quebec,ST. LAWRENCE,R. BICKERDIKE Liberal,businessman,3282,55.5,,
1902,Quebec,ST. LAWRENCE,C. LANE Conservative,,2632,44.5,,
1902,Quebec,ST. MARY,C. PICHÉ Liberal,lawyer,3131,59.08,,
1902,Quebec,ST. MARY,L.T. MARÉCHAL Conservative,,2169,40.92,,
1902,Quebec,STANSTEAD,Henry LOVELL Liberal,farmer,1966,53.73,,
1902,Quebec,STANSTEAD,Michael Felix HACKETT Conservative,,1693,46.27,,
1902,Quebec,TÉMISCOUATA,Chs. A. GAUVREAU Liberal,notary,2752,60.46,,
1902,Quebec,TÉMISCOUATA,P.E. GRANDBOIS Conservative,,1800,39.54,,
1902,Quebec,TERREBONNE,Samuel DESJARDINS Liberal,physician,2481,51.93,,
1902,Quebec,TERREBONNE,W. Bruno NANTEL Conservative,lawyer,2297,48.07,,
1902,Quebec,THREE RIVERS AND ST. MAURICE,Jacques BUREAU Liberal,lawyer,2667,54.02,,
1902,Quebec,THREE RIVERS AND ST. MAURICE,Nérée-L. DUPLESSIS Conservative,,2270,45.98,,
1902,Quebec,TWO MOUNTAINS,J.A.C. ÉTHIER Liberal,lawyer,1460,52.27,,
1902,Quebec,TWO MOUNTAINS,George N. FAUTEUX Conservative,,1333,47.73,,
1902,Quebec,VAUDREUIL,Gustave BOYER Liberal,journalist,1297,61.12,,
1902,Quebec,VAUDREUIL,François de Sales-Alphonse BASTIEN Conservative,,825,38.88,,
1902,Quebec,WRIGHT,Sir Wilfrid LAURIER Liberal,lawyer,3250,61.39,,
1902,Quebec,WRIGHT,F.-A.-A. LABELLE Conservative,,2044,38.61,,
1902,Quebec,YAMASKA,Joseph-Ernest-Oscar GLADU Liberal,notary,2026,56.4,,
1902,Quebec,YAMASKA,Ernest PÉLISSIER Conservative,,1566,43.6,,
1902,Yukon,YUKON,Alfred THOMPSON Conservative,physician,2113,58.56,,
1902,Yukon,YUKON,Frederick Tennyson CONGDON Liberal,,1495,41.44,,
1902,Quebec,QUEBEC-CENTRE,Arthur LACHANCE Liberal,lawyer,accl.,NA,,
1902,Ontario,CARLETON,R.L. BORDEN Conservative,lawyer,accl.,NA,,
1902,Quebec,WRIGHT,E.B. DEVLIN Liberal,lawyer,1857,44.25,,
1902,Quebec,WRIGHT,J.M. MCDOUGALL Conservative,,1685,40.15,,
1902,Quebec,WRIGHT,Louis COUSINEAU Independent Conservative,,655,15.61,,
1902,Ontario,TORONTO CENTRE,Edmund BRISTOL Conservative,barrister,accl.,NA,,
1902,Northwest Territories,EDMONTON,Hon. Frank OLIVER Liberal,,accl.,NA,,
1902,Quebec,LÉVIS,L.A. CARRIER Liberal,wholesaler,accl.,NA,,
1902,Ontario,LONDON,C.S. HYMAN Liberal,manufacturer,4581,51.87,,
1902,Ontario,LONDON,Wm. GRAY Conservative,,4251,48.13,,
1902,Ontario,OXFORD NORTH,George SMITH Liberal,lawyer,2845,53.16,,
1902,Ontario,OXFORD NORTH,J.G. WALLACE Conservative,,2507,46.84,,
1902,Nova Scotia,ANTIGONISH,Wm. CHISHOLM Liberal,lawyer,1325,54.87,,
1902,Nova Scotia,ANTIGONISH,E.L. GIRROIR Conservative,,1090,45.13,,
1902,Ontario,LAMBTON WEST,F.F. PARDEE Liberal,barrister-at-law,2848,52.26,,
1902,Ontario,LAMBTON WEST,R.E. LESUEUR Conservative,,2602,47.74,,
1902,Ontario,WENTWORTH,E.D. SMITH Conservative,manufacturer,2982,50.14,,
1902,Ontario,WENTWORTH,W.O. SEALEY Liberal,farmer,2965,49.86,,
1902,Ontario,YORK NORTH,Hon. A.B. AYLESWORTH Liberal,lawyer,2729,54.98,,
1902,Ontario,YORK NORTH,Arch. MCCALLUM Conservative,,2235,45.02,,
1902,Quebec,COMPTON,A.B. HUNT Liberal,company director,2935,53.17,,
1902,Quebec,COMPTON,R.H. POPE Conservative,farmer and breeder,2585,46.83,,
1902,Alberta,ASSINIBOIA WEST,William Erskine KNOWLES Liberal,lawyer,accl.,NA,,
1902,Quebec,SHERBROOKE (TOWN OF),A.N. WORTHINGTON Conservative,physician,accl.,NA,,
1902,Saskatchewan,ASSINIBOIA WEST,William Erskine KNOWLES Liberal,lawyer,accl.,NA,,
1902,Saskatchewan,SASKATCHEWAN,George Ewan MCCRANEY Liberal,,accl.,NA,,
1902,Quebec,MAISONNEUVE,A. VERVILLE Labour,plumber,4887,56.06,,
1902,Quebec,MAISONNEUVE,L.O. GROTHE Liberal,,3830,43.94,,
1902,British Columbia,VICTORIA CITY,Hon. W. TEMPLEMAN Liberal,editor,1553,57.14,,
1902,British Columbia,VICTORIA CITY,J.L. BECKWITH Conservative,,857,31.53,,
1902,British Columbia,VICTORIA CITY,W.H. MARCON Independent,,308,11.33,,
1902,Nova Scotia,NORTH CAPE BRETON AND VICTORIA,A.C. ROSS Liberal,business executive,2922,58.32,,
1902,Nova Scotia,NORTH CAPE BRETON AND VICTORIA,John MACCORMICK Conservative,merchant,2088,41.68,,
1902,Alberta,STRATHCONA,Wilbert MCINTYRE Liberal,,2819,68.42,,
1902,Alberta,STRATHCONA,F.W. CRANG Conservative,,1301,31.58,,
1902,Northwest Territories,STRATHCONA,Wilbert MCINTYRE Liberal,,2819,68.42,,
1902,Northwest Territories,STRATHCONA,F.W. CRANG Conservative,,1301,31.58,,
1902,Ontario,RENFREW NORTH,G.V. WHITE Conservative,mining engineer,2167,60.77,,
1902,Ontario,RENFREW NORTH,Thomas MURRAY Unknown,,1166,32.7,,
1902,Ontario,RENFREW NORTH,M. MCKAY Unknown,,233,6.53,,
1902,Ontario,ELGIN EAST,David MARSHALL Conservative,businessman,2069,50.9,,
1902,Ontario,ELGIN EAST,G. HAIGHT Liberal,,1996,49.1,,
1902,Quebec,ST. JOHNS--IBERVILLE,M. Joseph DEMERS Liberal,lawyer,accl.,NA,,
1902,Quebec,QUEBEC COUNTY,L. ROBITAILLE Independent Liberal,manufacturer,2087,55.12,,
1902,Quebec,QUEBEC COUNTY,G.E. AMYOT Liberal,,1699,44.88,,
1902,Ontario,BRUCE NORTH,John TOLMIE Liberal,salt manufacturer,2606,54.97,,
1902,Ontario,BRUCE NORTH,A. MCLELLAND Conservative,,2135,45.03,,
1902,Nova Scotia,SHELBURNE AND QUEEN'S,Hon. W.S. FIELDING Liberal,journalist,2500,62.75,,
1902,Nova Scotia,SHELBURNE AND QUEEN'S,R.C. WELDON Conservative,lawyer,1484,37.25,,
1902,Quebec,ST. ANNE,J.C. WALSH Liberal,lawyer,2409,52.19,,
1902,Quebec,ST. ANNE,F.J. CURRAN Conservative,,2207,47.81,,
1902,Quebec,ST. MARY,Médéric MARTIN Liberal,manufacturer,2635,64.81,,
1902,Quebec,ST. MARY,Joseph AINEY Unknown,labour,1431,35.19,,
1902,Quebec,NICOLET,C.R. DEVLIN Liberal,merchant,2721,53.89,,
1902,Quebec,NICOLET,George BALL Conservative,merchant,2328,46.11,,
1902,Quebec,THREE RIVERS AND ST. MAURICE,Hon. Jacques BUREAU Liberal,lawyer,accl.,NA,,
1902,New Brunswick,VICTORIA,Pius MICHAUD Liberal,lawyer,accl.,NA,,
1902,Quebec,L'ASSOMPTION,R.C.E. LAURIER Liberal,physician,1276,53.57,,
1902,Quebec,L'ASSOMPTION,E. LEMIRE dit MARSOLAIS Conservative,,1106,46.43,,
1902,Quebec,RICHELIEU,Adélard LANCTOT Liberal,lawyer,2467,64.41,,
1902,Quebec,RICHELIEU,A.O. RONDEAU Liberal,,1363,35.59,,
1902,New Brunswick,CITY AND COUNTY OF ST. JOHN,Hon. Wm. PUGSLEY Liberal,lawyer,accl.,NA,,
1902,Ontario,BROCKVILLE,Hon. G.P. GRAHAM Liberal,newspaperman,accl.,NA,,
1902,Ontario,LONDON,Thomas BEATTIE Conservative,businessman,3209,59.61,,
1902,Ontario,LONDON,J.D. JACOBS Liberal,,2174,40.39,,
1902,Ontario,NORTHUMBERLAND EAST,C.L. OWEN Conservative,woollen manufacturer,2347,52.72,,
1902,Ontario,NORTHUMBERLAND EAST,A.A. MULHOLLAND Liberal,,2105,47.28,,
1902,Ontario,WELLINGTON NORTH,A.M. MARTIN Liberal,businessman,2338,53.02,,
1902,Ontario,WELLINGTON NORTH,Alex HAMILTON Conservative,,2072,46.98,,
1902,Nova Scotia,COLCHESTER,John STANFIELD Conservative,manufacturer,2586,52.25,,
1902,Nova Scotia,COLCHESTER,Charles HILL Liberal,,2363,47.75,,
1902,Ontario,OTTAWA (CITY OF),J.B.T. CARON Liberal,lawyer,4474,79.62,,
1902,Ontario,OTTAWA (CITY OF),W.D. MORRIS Unknown,,1145,20.38,,
1902,Ontario,YORK CENTRE,P.D. MCLEAN Liberal,physician,2282,50.29,,
1902,Ontario,YORK CENTRE,T.G. WALLACE Conservative,merchant,2256,49.71,,
1902,Quebec,LABELLE,C.B. MAJOR Liberal,lawyer,accl.,NA,,
1902,Quebec,NICOLET,G.A. TURCOTTE Liberal,physician,2761,54.13,,
1902,Quebec,NICOLET,J.C. HÉON Conservative,,2340,45.87,,
1902,Ontario,HURON SOUTH,Murdo Young MCLEAN Liberal,journalist,2679,51.12,,
1902,Ontario,HURON SOUTH,Henry HORTON Conservative,,2562,48.88,,
1902,Quebec,STANSTEAD,C. Henry LOVELL Liberal,farmer,2189,53.33,,
1902,Quebec,STANSTEAD,A.H. MOORE Conservative,merchant,1916,46.67,,
1902,Alberta,CALGARY,Maitland Stewart MCCARTHY Conservative,lawyer,4105,49.66,,
1902,Alberta,CALGARY,Charles John STEWART Liberal,physician,3418,41.35,,
1902,Alberta,CALGARY,Frank Henry SHERMAN Socialist,,743,8.99,,
1902,Alberta,EDMONTON,Hon. Frank OLIVER Liberal,publisher,5212,64.29,,
1902,Alberta,EDMONTON,James Duncan HYNDMAN Conservative,,2895,35.71,,
1902,Alberta,MACLEOD,John HERRON Liberal-Conservative,rancher,2935,47.04,,
1902,Alberta,MACLEOD,Allan Ban MACDONALD Liberal,,2642,42.35,,
1902,Alberta,MACLEOD,John HARRINGTON Independent,,662,10.61,,
1902,Alberta,MEDICINE HAT,Charles MAGRATH Conservative,surveyor,2922,53.2,,
1902,Alberta,MEDICINE HAT,William Charles SIMMONS Liberal,,2570,46.8,,
1902,Alberta,RED DEER,Michael CLARK Liberal,physician,3481,51.94,,
1902,Alberta,RED DEER,George F. ROOT Conservative,,3221,48.06,,
1902,Alberta,STRATHCONA,Wilbert MCINTYRE Liberal,physician,3130,50.14,,
1902,Alberta,STRATHCONA,Egarton Winnett DAY Conservative,,2078,33.29,,
1902,Alberta,STRATHCONA,James George ANDERSON Independent,,1034,16.57,,
1902,British Columbia,COMOX--ATLIN,William SLOAN Liberal,businessman,accl.,NA,,
1902,British Columbia,KOOTENAY,Arthur Samuel GOODEVE Conservative,pharmacist,3109,46.97,,
1902,British Columbia,KOOTENAY,Smith CURTIS Liberal,,2173,32.83,,
1902,British Columbia,KOOTENAY,William DAVIDSON Socialist,,1337,20.2,,
1902,British Columbia,NANAIMO,Ralph SMITH Liberal,miner,1494,36.08,,
1902,British Columbia,NANAIMO,Francis Henry SHEPHERD Conservative,engineer,1335,32.24,,
1902,British Columbia,NANAIMO,James Hurst HAWTHORNTHWAITE Socialist,,1312,31.68,,
1902,British Columbia,NEW WESTMINSTER,James Davis TAYLOR Conservative,reporter,2846,58.49,,
1902,British Columbia,NEW WESTMINSTER,Robert JARDINE Liberal,,2020,41.51,,
1902,British Columbia,VANCOUVER CITY,George H. COWAN Conservative,lawyer,4621,42.11,,
1902,British Columbia,VANCOUVER CITY,Wm. Wallace Burns MCINNES Liberal,,3039,27.69,,
1902,British Columbia,VANCOUVER CITY,Joseph MARTIN Independent,,2120,19.32,,
1903,British Columbia,VANCOUVER CITY,Eugene T. KINGSLEY Independent,,1194,10.88,,
1903,British Columbia,VICTORIA CITY,George Henry BARNARD Conservative,lawyer,2179,50.15,,
1903,British Columbia,VICTORIA CITY,Hon. William TEMPLEMAN Liberal,editor,2166,49.85,,
1903,British Columbia,YALE--CARIBOO,Martin BURRELL Conservative,fruit grower,3413,53.14,,
1903,British Columbia,YALE--CARIBOO,Duncan ROSS Liberal,railway contractor,2520,39.23,,
1903,British Columbia,YALE--CARIBOO,Charles BUNTING Unknown,,490,7.63,,
1903,Manitoba,BRANDON,Hon. Clifford SIFTON Liberal,lawyer,3567,49.78,,
1903,Manitoba,BRANDON,Hon. Thomas Mayne DALY Conservative,,3498,48.82,,
1903,Manitoba,BRANDON,Benjamin D'Arcy WALLACE Independent,,100,1.4,,
1903,Manitoba,DAUPHIN,Glenlyon Archibald CAMPBELL Conservative,trapper and rancher,3206,51.75,,
1903,Manitoba,DAUPHIN,Theodore Arthur BURROWS Liberal,mill owner,2989,48.25,,
1903,Manitoba,LISGAR,William Henry SHARPE Conservative,general merchant,1765,51.53,,
1903,Manitoba,LISGAR,John Franklin GREENWAY Liberal,,1660,48.47,,
1903,Manitoba,MACDONALD,William D. STAPLES Conservative,farmer,2990,55.33,,
1903,Manitoba,MACDONALD,Samuel Jacob THOMPSON Liberal,,2414,44.67,,
1903,Manitoba,MARQUETTE,William James ROCHE Conservative,physician,3285,54.75,,
1903,Manitoba,MARQUETTE,Malcolm Bruce JACKSON Liberal,,2715,45.25,,
1903,Manitoba,PORTAGE LA PRAIRIE,Arthur MEIGHEN Conservative,lawyer,3144,52.07,,
1903,Manitoba,PORTAGE LA PRAIRIE,John CRAWFORD Liberal,,2894,47.93,,
1903,Manitoba,PROVENCHER,John Patrick MOLLOY Liberal,farmer,2719,54.62,,
1903,Manitoba,PROVENCHER,Alf. Alfred Clément LARIVIÈRE Conservative,editor,2259,45.38,,
1903,Manitoba,SELKIRK,George Henry BRADBURY Conservative,brick manufacturer,2874,50.87,,
1903,Manitoba,SELKIRK,Samuel Jacob JACKSON Liberal,farmer,2776,49.13,,
1903,Manitoba,SOURIS,Frederick Lawrence SCHAFFNER Conservative,physician,3310,57.68,,
1903,Manitoba,SOURIS,Archibald McIntyre CAMPBELL Liberal,,2429,42.32,,
1903,Manitoba,WINNIPEG,Alexander HAGGART Conservative,lawyer,8747,50.12,,
1903,Manitoba,WINNIPEG,Douglas C. CAMERON Liberal,,6729,38.55,,
1903,Manitoba,WINNIPEG,John Donald HOUSTON Socialist,,1977,11.33,,
1903,New Brunswick,CARLETON,Frank Broadstreet CARVELL Liberal,lawyer,2635,51.47,,
1903,New Brunswick,CARLETON,Benjamin Franklin SMITH Conservative,,2484,48.53,,
1903,New Brunswick,CHARLOTTE,William F. TODD Liberal,wholesale food merchant,2691,51.93,,
1903,New Brunswick,CHARLOTTE,Gilbert White GANONG Conservative,teacher,2491,48.07,,
1903,New Brunswick,CITY AND COUNTY OF ST. JOHN,Hon. William PUGSLEY Liberal,lawyer,5582,52.32,,
1903,New Brunswick,CITY AND COUNTY OF ST. JOHN,Alexander William MACRAE Conservative,physician,5086,47.68,,
1903,New Brunswick,CITY OF ST. JOHN,John W. DANIEL Conservative,physician,4394,51.12,,
1903,New Brunswick,CITY OF ST. JOHN,James PENDER Liberal,,4202,48.88,,
1903,New Brunswick,GLOUCESTER,Onésiphore TURGEON Liberal,,2581,55.21,,
1903,New Brunswick,GLOUCESTER,Theobald M. BURNS Conservative,,2094,44.79,,
1903,New Brunswick,KENT,Oliver J. LEBLANC Liberal,farmer,2580,58.11,,
1903,New Brunswick,KENT,Ferdinand J. ROBIDOUX Conservative,lawyer,1860,41.89,,
1903,New Brunswick,KING'S AND ALBERT,Duncan H. MCALISTER Liberal,physician,3573,100,,
1903,New Brunswick,KING'S AND ALBERT,George William FOWLER Conservative,lawyer,3219,NA,,
1903,New Brunswick,NORTHUMBERLAND,William Stewart LOGGIE Liberal,merchant,3223,58.98,,
1903,New Brunswick,NORTHUMBERLAND,Donald MORRISON Conservative,,2242,41.02,,
1903,New Brunswick,RESTIGOUCHE,James REID Liberal,general merchant,1256,52.8,,
1903,New Brunswick,RESTIGOUCHE,William Albert MOTT Conservative,,1123,47.2,,
1903,New Brunswick,SUNBURY--QUEEN'S,Hugh Havelock MCLEAN Liberal,lawyer,1951,50.68,,
1903,New Brunswick,SUNBURY--QUEEN'S,Robert Duncan WILMOT Conservative,businessman,1899,49.32,,
1903,New Brunswick,VICTORIA,Pius MICHAUD Liberal,lawyer,2611,78.2,,
1903,New Brunswick,VICTORIA,Clarence A. KIRKPATRICK Conservative,,728,21.8,,
1903,New Brunswick,WESTMORLAND,Hon. Henry Robertson EMMERSON Liberal,lawyer,5047,57.95,,
1903,New Brunswick,WESTMORLAND,Frederick William SUMNER Conservative,,3662,42.05,,
1903,New Brunswick,YORK,Oswald S. CROCKET Conservative,journalist,3653,56.75,,
1903,New Brunswick,YORK,Nelson W. BROWN Liberal,,2784,43.25,,
1903,Nova Scotia,ANNAPOLIS,Samuel W.W. PICKUP Liberal,merchant,2121,52.62,,
1903,Nova Scotia,ANNAPOLIS,George E. CORBITT Conservative,,1910,47.38,,
1903,Nova Scotia,ANTIGONISH,William CHISHOLM Liberal,lawyer,1291,50.39,,
1903,Nova Scotia,ANTIGONISH,E. Lavin GIRROIR Conservative,,1271,49.61,,
1903,Nova Scotia,CAPE BRETON SOUTH,James William MADDIN Liberal-Conservative,lawyer,5048,51.14,,
1903,Nova Scotia,CAPE BRETON SOUTH,Alexander JOHNSTON Liberal,journalist,4823,48.86,,
1903,Nova Scotia,COLCHESTER,John STANFIELD Conservative,manufacturer,2736,51.07,,
1903,Nova Scotia,COLCHESTER,Charles HILL Liberal,,2621,48.93,,
1903,Nova Scotia,CUMBERLAND,Edgar N. RHODES Conservative,lawyer,4800,52.69,,
1903,Nova Scotia,CUMBERLAND,J. Layton RALSTON Liberal,,4310,47.31,,
1903,Nova Scotia,DIGBY,Clarence JAMESON Conservative,town clerk,1771,51.92,,
1903,Nova Scotia,DIGBY,Albert James Smith COPP Liberal,lawyer,1640,48.08,,
