Year,Province,Electoral.District.Name.Nom.de.circonscription,Candidate.Candidat,Candidate.Occupation.Profession.du.candidat,Votes.Obtained.Votes.obtenus,Percentage.of.Votes.Obtained..Pourcentage.des.votes.obtenus, 
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Scott Andrews ** Liberal/Libéral,Parliamentarian/,16008,44,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Fabian Manning Conservative/Conservateur,Business Manager/,14749,40.5,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Matthew Martin Fuchs NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Coordinator/,5157,14.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Randy Wayne Dawe Independent/Indépendant,Manager/,276,0.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,Matt Crowder Green Party/Parti Vert,Student/,218,0.6,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Scott Simms ** Liberal/Libéral,Parliamentarian/,17977,57.7,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Aaron Hynes Conservative/Conservateur,Policy Advisor/,8595,27.6,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Clyde Bridger NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Security Guard/,4306,13.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Gander--Grand Falls--Windsor,Robyn Kenny Green Party/Parti Vert,Videographer/,279,0.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Gerry Byrne ** Liberal/Libéral,Parliamentarian/,17119,57,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Trevor Taylor Conservative/Conservateur,Environmental Consultant/,7559,25.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Shelley Senior NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Lawyer/,4751,15.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Wayne R. Bennett Independent/Indépendant,Retired/,332,1.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Humber--St. Barbe--Baie Verte,Robin Blair Gosse Green Party/Parti Vert,Student/,253,0.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Peter Penashue Conservative/Conservateur,Businessman/,4256,39.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Todd Russell ** Liberal/Libéral,Parliamentarian/,4177,39.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,Jacob Larkin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,School Principal/Teacher/,2120,19.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,George C.R. Barrett Green Party/Parti Vert,Pilot/,139,1.3,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Judy Foote ** Liberal/Libéral,Parliamentarian/,12914,49.7,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,John Ottenheimer Conservative/Conservateur,Lawyer/,8322,32,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Stella Magalios NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Waitress/,4465,17.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,Random--Burin--St. George's,Tanya Gutmanis Green Party/Parti Vert,Student/,307,1.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Lawyer/,31388,71.2,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Jerry Byrne Conservative/Conservateur,Retired Eng./Businessman/,9198,20.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,John Allan Liberal/Libéral,Business Owner/,3019,6.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,Robert Miller Green Party/Parti Vert,Architectural Engineering Technologist/,467,1.1,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Ryan Cleary NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Journalist/Writer/,18681,47.9,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Siobhan Coady ** Liberal/Libéral,Parliamentarian/,11130,28.5,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Loyola Sullivan Conservative/Conservateur,Diplomat/,8883,22.8,
2011,Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,Rick Austin Green Party/Parti Vert,Graphic Artist/,291,0.7,
2011,Prince Edward Island/Île-du-Prince-Édouard,Cardigan,Lawrence MacAulay ** Liberal/Libéral,Farmer/,10486,49.6,
2011,Prince Edward Island/Île-du-Prince-Édouard,Cardigan,Mike Currie Conservative/Conservateur,Private Sector - Self-employed/,8107,38.4,
2011,Prince Edward Island/Île-du-Prince-Édouard,Cardigan,Lorne Cudmore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Retired/,2164,10.2,
2011,Prince Edward Island/Île-du-Prince-Édouard,Cardigan,Leslie Stewart Green Party/Parti Vert,Manager of Down East Mall/,373,1.8,
2011,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,Sean Casey Liberal/Libéral,Lawyer/,7292,39.5,
2011,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,Donna Profit Conservative/Conservateur,Teacher/,6040,32.7,
2011,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,Joe Byrne NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Settlement Officer/,4632,25.1,
2011,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,Eliza Knockwood Green Party/Parti Vert,Independent Film Maker/,417,2.3,
2011,Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,Baird Judson CHP Canada/PHC Canada,Retired Professor/,87,0.5,
2011,Prince Edward Island/Île-du-Prince-Édouard,Egmont,Gail Shea ** Conservative/Conservateur,Parliamentarian/,10467,54.6,
2011,Prince Edward Island/Île-du-Prince-Édouard,Egmont,Guy Gallant Liberal/Libéral,Executive Assistant/,5997,31.3,
2011,Prince Edward Island/Île-du-Prince-Édouard,Egmont,Jacquie Robichaud NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Early Childhood Educator/,2369,12.4,
2011,Prince Edward Island/Île-du-Prince-Édouard,Egmont,Carl Anthony Arnold Green Party/Parti Vert,Teacher/,320,1.7,
2011,Prince Edward Island/Île-du-Prince-Édouard,Malpeque,Wayne Easter ** Liberal/Libéral,Farmer/,8605,42.4,
2011,Prince Edward Island/Île-du-Prince-Édouard,Malpeque,Tim Ogilvie Conservative/Conservateur,Veterinarian/,7934,39.1,
2011,Prince Edward Island/Île-du-Prince-Édouard,Malpeque,Rita Jackson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Retired/,2970,14.6,
2011,Prince Edward Island/Île-du-Prince-Édouard,Malpeque,Peter Bevan-Baker Green Party/Parti Vert,Dentist/,785,3.9,
2011,Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,Rodger Cuzner ** Liberal/Libéral,Parliamentarian/,16478,46.4,
2011,Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,Derrick Clarence Kennedy Conservative/Conservateur,Seafood Plant Manager/,10873,30.6,
2011,Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,Marney Jeanne Simmons NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Self-employed/,6984,19.7,
2011,Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,Glen Carabin Green Party/Parti Vert,Producer/Organizer/,1141,3.2,
2011,Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,Peter G. MacKay ** Conservative/Conservateur,Parliamentarian/,21593,56.8,
2011,Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,David K. Parker NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Educator/,9412,24.8,
2011,Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,John R. Hamilton Liberal/Libéral,Physician/,5614,14.8,
2011,Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,Matthew Chisholm Green Party/Parti Vert,Sustainability Officer/,1406,3.7,
2011,Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester--Musquodoboit Valley,Scott Armstrong ** Conservative/Conservateur,Educator/,21041,52.5,
2011,Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester--Musquodoboit Valley,Wendy Robinson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Constituency Assistant/,9322,23.2,
2011,Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester--Musquodoboit Valley,Jim Burrows Liberal/Libéral,Dairy Farmer/,7264,18.1,
2011,Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester--Musquodoboit Valley,Jason Blanch Green Party/Parti Vert,Consultant/,2109,5.3,
2011,Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester--Musquodoboit Valley,Jim Hnatiuk CHP Canada/PHC Canada,Business Owner/,375,0.9,
2011,Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,Robert Chisholm NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Consultant/,15678,36.3,
2011,Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,Mike Savage ** Liberal/Libéral,Parliamentarian/,15181,35.1,
2011,Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,Wanda Webber Conservative/Conservateur,Educator/,10702,24.8,
2011,Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,Paul Shreenan Green Party/Parti Vert,Driver/,1662,3.8,
2011,Nova Scotia/Nouvelle-Écosse,Halifax,Megan Leslie ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Parliamentarian/,23746,51.6,
2011,Nova Scotia/Nouvelle-Écosse,Halifax,Stan Kutcher Liberal/Libéral,Medical Doctor/,11793,25.6,
2011,Nova Scotia/Nouvelle-Écosse,Halifax,George Nikolaou Conservative/Conservateur,Electrical Contractor/,8276,18,
2011,Nova Scotia/Nouvelle-Écosse,Halifax,Michael Dewar Green Party/Parti Vert,Student/,2020,4.4,
2011,Nova Scotia/Nouvelle-Écosse,Halifax,Tony Seed Marxist-Leninist/Marxiste-Léniniste,Journalist/,152,0.3,
2011,Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,Geoff Regan ** Liberal/Libéral,Lawyer/,16230,35.9,
2011,Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,Bruce Robert Pretty Conservative/Conservateur,Ophthalmologist/,13782,30.5,
2011,Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,Gregor Ash NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Executive Director/,13239,29.3,
2011,Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,Thomas Trappenberg Green Party/Parti Vert,Professor/,1931,4.3,
2011,Nova Scotia/Nouvelle-Écosse,Kings--Hants,Scott Brison ** Liberal/Libéral,Parliamentarian/,15887,39.6,
2011,Nova Scotia/Nouvelle-Écosse,Kings--Hants,David Morse Conservative/Conservateur,Retired/,14714,36.6,
2011,Nova Scotia/Nouvelle-Écosse,Kings--Hants,Mark Rogers NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Regional Representative - PSAC/,8043,20,
2011,Nova Scotia/Nouvelle-Écosse,Kings--Hants,Sheila Richardson Green Party/Parti Vert,Stay Home Care Worker/,1520,3.8,
2011,Nova Scotia/Nouvelle-Écosse,Sackville--Eastern Shore,Peter Stoffer ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Parliamentarian/,22483,54.1,
2011,Nova Scotia/Nouvelle-Écosse,Sackville--Eastern Shore,Adam Mimnagh Conservative/Conservateur,Film Producer/,12662,30.5,
2011,Nova Scotia/Nouvelle-Écosse,Sackville--Eastern Shore,Scott Hemming Liberal/Libéral,Viral Hepatitis Consultant/,4673,11.2,
2011,Nova Scotia/Nouvelle-Écosse,Sackville--Eastern Shore,John Percy Green Party/Parti Vert,Party Leader Green Party of N.S./,1762,4.2,
2011,Nova Scotia/Nouvelle-Écosse,South Shore--St. Margaret's,Gerald Keddy ** Conservative/Conservateur,Parliamentarian/,17948,43.1,
2011,Nova Scotia/Nouvelle-Écosse,South Shore--St. Margaret's,Gordon Earle NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Retired Public Servant/,15033,36.1,
2011,Nova Scotia/Nouvelle-Écosse,South Shore--St. Margaret's,Derek Wells Liberal/Libéral,Lawyer/,7037,16.9,
2011,Nova Scotia/Nouvelle-Écosse,South Shore--St. Margaret's,Kris MacLellan Green Party/Parti Vert,"Member Services, Mountain Equipment Co-op/",1579,3.8,
2011,Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,Mark Eyking ** Liberal/Libéral,Farmer/,14788,39.9,
2011,Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,Cecil Clarke Conservative/Conservateur,Parliamentarian (Provincial)/,14023,37.8,
2011,Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,Kathy MacLeod NDP-New Democratic Party/NPD-Nouveau Parti démocratique,National Representative CUPE/,7049,19,
2011,Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,Chris Milburn Green Party/Parti Vert,Medical Doctor/,1191,3.2,
2011,Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,Greg Kerr ** Conservative/Conservateur,Parliamentarian/,20204,47,
2011,Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,Robert Thibault Liberal/Libéral,Business/,15632,36.4,
2011,Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,George Barron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Paramedic/,5631,13.1,
2011,Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,Ross Johnson Green Party/Parti Vert,Millwright/,1487,3.5,
2011,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,Yvon Godin ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Parlementaire,32067,69.7,
2011,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,Louis Robichaud Conservative/Conservateur,/Travailleur de la construction,7456,16.2,
2011,New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,Jean Marie Gionet Liberal/Libéral,/Fleuriste,6491,14.1,
2011,New Brunswick/Nouveau-Brunswick,Beauséjour,Dominic LeBlanc ** Liberal/Libéral,Parliamentarian/,17399,39.1,
2011,New Brunswick/Nouveau-Brunswick,Beauséjour,Evelyne Chapman Conservative/Conservateur,Enseignante/,14811,33.3,
2011,New Brunswick/Nouveau-Brunswick,Beauséjour,Susan Levi-Peters NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Manager - family business/,10397,23.4,
2011,New Brunswick/Nouveau-Brunswick,Beauséjour,Natalie Arsenault Green Party/Parti Vert,Entrepreneur/,1913,4.3,
2011,New Brunswick/Nouveau-Brunswick,Fredericton,Keith Ashfield ** Conservative/Conservateur,Parliamentarian/,21573,48.4,
2011,New Brunswick/Nouveau-Brunswick,Fredericton,Jesse Travis NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Law Student/,10626,23.8,
2011,New Brunswick/Nouveau-Brunswick,Fredericton,Randy McKeen Liberal/Libéral,Journalist/,10336,23.2,
2011,New Brunswick/Nouveau-Brunswick,Fredericton,Louise Anna-Marie Comeau Green Party/Parti Vert,Student PhD Candidate Environment/,1790,4,
2011,New Brunswick/Nouveau-Brunswick,Fredericton,Adam Scott Ness Independent/Indépendant,Salesman/,266,0.6,
2011,New Brunswick/Nouveau-Brunswick,Fundy Royal,Rob Moore ** Conservative/Conservateur,Lawyer/Parliamentarian/,21206,58.1,
2011,New Brunswick/Nouveau-Brunswick,Fundy Royal,Darryl Pitre NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Senior Sales Representative/,9845,27,
2011,New Brunswick/Nouveau-Brunswick,Fundy Royal,Linda Wilhelm Liberal/Libéral,Homemaker/,3668,10.1,
2011,New Brunswick/Nouveau-Brunswick,Fundy Royal,Stephanie Coburn Green Party/Parti Vert,Farmer/,1757,4.8,
2011,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,Bernard Valcourt Conservative/Conservateur,/Avocat-Notaire,14224,40.6,
2011,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,Jean-Claude JC D'Amours ** Liberal/Libéral,/Parlementaire,12309,35.2,
2011,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,Widler Jules NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Conseiller en coordination des décisions,6562,18.8,
2011,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,Louis Bérubé Independent/Indépendant,/Artiste (chanteur),1290,3.7,
2011,New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,Lynn Morrison Green Party/Parti Vert,Bookkeeper/,612,1.7,
2011,New Brunswick/Nouveau-Brunswick,Miramichi,Tilly O'Neill Gordon ** Conservative/Conservateur,Parliamentarian/,16112,52.4,
2011,New Brunswick/Nouveau-Brunswick,Miramichi,Patrick Colford NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Journeyman Chef/,7097,23.1,
2011,New Brunswick/Nouveau-Brunswick,Miramichi,Keith Vickers Liberal/Libéral,Politician/,6800,22.1,
2011,New Brunswick/Nouveau-Brunswick,Miramichi,Ronald Mazerolle Green Party/Parti Vert,Electrician/,735,2.4,
2011,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,Robert Goguen Conservative/Conservateur,Lawyer/,17408,35.7,
2011,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,Brian Murphy ** Liberal/Libéral,Lawyer/,15247,31.3,
2011,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,Shawna Gagné NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Gérante de bureau/Marketing/,14053,28.8,
2011,New Brunswick/Nouveau-Brunswick,Moncton--Riverview--Dieppe,Steven Steeves Green Party/Parti Vert,Air Traffic Controller/,2016,4.1,
2011,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,John Williamson Conservative/Conservateur,Tax Payer Advocate/,18066,56.6,
2011,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Andrew Graham NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Woodworker-Carpenter/,7413,23.2,
2011,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Kelly Wilson Liberal/Libéral,Executive Director/,4320,13.5,
2011,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Janice Harvey Green Party/Parti Vert,University Lecturer/,1646,5.2,
2011,New Brunswick/Nouveau-Brunswick,New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest,Jason Farris CHP Canada/PHC Canada,Internet Consultant/,450,1.4,
2011,New Brunswick/Nouveau-Brunswick,Saint John,Rodney Weston ** Conservative/Conservateur,Manager/,18456,49.7,
2011,New Brunswick/Nouveau-Brunswick,Saint John,Rob Moir NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Economics Professor/,11382,30.7,
2011,New Brunswick/Nouveau-Brunswick,Saint John,Stephen Chase Liberal/Libéral,Operations Manager/,5964,16.1,
2011,New Brunswick/Nouveau-Brunswick,Saint John,Sharon Murphy-Flatt Green Party/Parti Vert,Mother/,1017,2.7,
2011,New Brunswick/Nouveau-Brunswick,Saint John,Arthur Jr. Watson Independent/Indépendant,Self-employed/,294,0.8,
2011,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,Mike Allen ** Conservative/Conservateur,Parliamentarian/,21108,62.7,
2011,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,Pierre Cyr NDP-New Democratic Party/NPD-Nouveau Parti démocratique,LPN/,6388,19,
2011,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,Chuck Chiasson Liberal/Libéral,Sales Representative/,5337,15.9,
2011,New Brunswick/Nouveau-Brunswick,Tobique--Mactaquac,Rish McGlynn Green Party/Parti Vert,Self-employed/,831,2.5,
2011,Quebec/Québec,Abitibi--Baie-James--Nunavik--Eeyou,Romeo Saganash NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Conseiller politique et juridique,13961,44.8,
2011,Quebec/Québec,Abitibi--Baie-James--Nunavik--Eeyou,Jean-Maurice Matte Conservative/Conservateur,/Maire,7089,22.7,
2011,Quebec/Québec,Abitibi--Baie-James--Nunavik--Eeyou,Yvon Lévesque ** Bloc Québécois/Bloc Québécois,/Parlementaire,5615,18,
2011,Quebec/Québec,Abitibi--Baie-James--Nunavik--Eeyou,Léandre Gervais Liberal/Libéral,/Ingénieur,3282,10.5,
2011,Quebec/Québec,Abitibi--Baie-James--Nunavik--Eeyou,Johnny Kasudluak Green Party/Parti Vert,Caterer/Service Contractor/,1221,3.9,
2011,Quebec/Québec,Abitibi--Témiscamingue,Christine Moore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Infirmière/,24763,51.2,
2011,Quebec/Québec,Abitibi--Témiscamingue,Marc Lemay ** Bloc Québécois/Bloc Québécois,/Avocat,15258,31.6,
2011,Quebec/Québec,Abitibi--Témiscamingue,Steven Hébert Conservative/Conservateur,Étudiant/,4777,9.9,
2011,Quebec/Québec,Abitibi--Témiscamingue,Suzie Grenon Liberal/Libéral,/Commis-comptes payables,2859,5.9,
2011,Quebec/Québec,Abitibi--Témiscamingue,Patrick Rochon Green Party/Parti Vert,Technicien informatique/,694,1.4,
2011,Quebec/Québec,Ahuntsic,Maria Mourani ** Bloc Québécois/Bloc Québécois,/Parlementaire,14908,31.8,
2011,Quebec/Québec,Ahuntsic,Chantal Reeves NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Préposée aux comm. d'urgence - 911,14200,30.3,
2011,Quebec/Québec,Ahuntsic,Noushig Eloyan Liberal/Libéral,/Ingénieure junior,13087,27.9,
2011,Quebec/Québec,Ahuntsic,Constantin Kiryakidis Conservative/Conservateur,/Avocat,3770,8,
2011,Quebec/Québec,Ahuntsic,Ted Kouretas Green Party/Parti Vert,/Enseignant,620,1.3,
2011,Quebec/Québec,Ahuntsic,Jean-Olivier Berthiaume Rhinoceros/Rhinocéros,/Étudiant,299,0.6,
2011,Quebec/Québec,Alfred-Pellan,Rosane Doré Lefebvre NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Commis de plancher,23098,42.1,
2011,Quebec/Québec,Alfred-Pellan,Robert Carrier ** Bloc Québécois/Bloc Québécois,/Ingénieur,12504,22.8,
2011,Quebec/Québec,Alfred-Pellan,Angelo G. Iacono Liberal/Libéral,/Avocat,12070,22,
2011,Quebec/Québec,Alfred-Pellan,Pierre Lefebvre Conservative/Conservateur,/Entrepreneur et Paramédic,6157,11.2,
2011,Quebec/Québec,Alfred-Pellan,Dylan Perceval-Maxwell Green Party/Parti Vert,/Businessman,798,1.5,
2011,Quebec/Québec,Alfred-Pellan,Régent Millette Independent/Indépendant,/Retraité,245,0.4,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Mylène Freeman NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Étudiante,25802,44.3,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Mario Laframboise ** Bloc Québécois/Bloc Québécois,/Parlementaire,16880,29,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Daniel Fox Liberal/Libéral,/Comptable agréé ,7135,12.2,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Yvan Patry Conservative/Conservateur,Retraité/,6497,11.1,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Stephen Matthews Green Party/Parti Vert,/Enseignant,1506,2.6,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Michel Daniel Guibord Independent/Indépendant,Charpentier - Menuisier/,342,0.6,
2011,Quebec/Québec,Argenteuil--Papineau--Mirabel,Christian-Simon Ferlatte Marxist-Leninist/Marxiste-Léniniste,/Étudiant,117,0.2,
2011,Quebec/Québec,Bas-Richelieu--Nicolet--Bécancour,Louis Plamondon ** Bloc Québécois/Bloc Québécois,/Parlementaire,19046,38.3,
2011,Quebec/Québec,Bas-Richelieu--Nicolet--Bécancour,Krista Lalonde NDP-New Democratic Party/NPD-Nouveau Parti démocratique,Resolution Specialist/,17705,35.6,
2011,Quebec/Québec,Bas-Richelieu--Nicolet--Bécancour,Charles Cartier Conservative/Conservateur,Agriculteur Bio./,6478,13,
2011,Quebec/Québec,Bas-Richelieu--Nicolet--Bécancour,Rhéal Blais Liberal/Libéral,/Entrepreneur en isolation-consultant,5024,10.1,
2011,Quebec/Québec,Bas-Richelieu--Nicolet--Bécancour,Anne-Marie Tanguay Green Party/Parti Vert,/Agricultrice,1479,3,
2011,Quebec/Québec,Beauce,Maxime Bernier ** Conservative/Conservateur,/Parlementaire,26799,50.7,
2011,Quebec/Québec,Beauce,Serge Bergeron NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Retraité,15831,30,
2011,Quebec/Québec,Beauce,Claude Morin Liberal/Libéral,/Retraité,5833,11,
2011,Quebec/Québec,Beauce,Sylvio Morin Bloc Québécois/Bloc Québécois,/Directeur général,3535,6.7,
2011,Quebec/Québec,Beauce,Etienne Doyon Lessard Green Party/Parti Vert,/Étudiant,852,1.6,
2011,Quebec/Québec,Beauharnois--Salaberry,Anne Minh-Thu Quach NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Enseignante au secondaire,23998,43.8,
2011,Quebec/Québec,Beauharnois--Salaberry,Claude DeBellefeuille ** Bloc Québécois/Bloc Québécois,/Parlementaire,18182,33.2,
2011,Quebec/Québec,Beauharnois--Salaberry,David Couturier Conservative/Conservateur,/Conseiller politique,7049,12.9,
2011,Quebec/Québec,Beauharnois--Salaberry,François Deslandres Liberal/Libéral,/Étudiant,4559,8.3,
2011,Quebec/Québec,Beauharnois--Salaberry,Rémi Pelletier Green Party/Parti Vert,/Gestionnaire de projet,1003,1.8,
2011,Quebec/Québec,Beauport--Limoilou,Raymond Côté NDP-New Democratic Party/NPD-Nouveau Parti démocratique,/Préposé aux renseignements,24306,46.1,
2011,Quebec/Québec,Beauport--Limoilou,Sylvie Boucher ** Conservative/Conservateur,/Parlementaire,13845,26.2,
2011,Quebec/Québec,Beauport--Limoilou,Michel Létourneau Bloc Québécois/Bloc Québécois,/Producteur,10250,19.4,
2011,Quebec/Québec,Beauport--Limoilou,Lorraine Chartier Liberal/Libéral,/Sociologue,3162,6,
2011,Quebec/Québec,Beauport--Limoilou,Louise Courville Green Party/Parti Vert,/Musicienne-Réalisatrice,950,1.8,
2011,Quebec/Québec,Beauport--Limoilou,Anne-Marie Genest CHP Canada/PHC Canada,/Commis/service à la clientèle,124,0.2,
2011,Quebec/Québec,Beauport--Limoilou,Claude Moreau Marxist-Leninist/Marxiste-Léniniste,/Mécanicien machines fixes,122,0.2,
